Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
abducts, 7, 7, 7, 3, e i a o u t s,0,7,4,0
aboard, 6, 5, 6, 4, e a s i t b,0,4,2,0
abrogating, 10, 8, 5, 1, e i n g t,0,8,2,0
absorbers, 9, 6, 5, 1, e s r o i,0,7,3,0
abusiveness, 11, 8, 4, 1, e n s r,0,3,1,0
acceptable, 10, 7, 6, 1, e a t l b s,0,7,4,0
accomplices, 11, 9, 4, 0, e i s o,0,4,1,0
accumulative, 12, 9, 5, 3, i n r l g,0,3,0,0
achingly, 8, 8, 6, 3, e i a y o t,0,5,3,0
acquiring, 9, 8, 5, 1, e i n g r,0,8,4,0
actives, 7, 7, 6, 2, e r d s i c,0,6,2,0
adapted, 7, 5, 4, 1, e r d a,0,8,5,0
adenine, 7, 5, 5, 2, e r s a n,0,4,2,0
adjudges, 8, 7, 5, 2, e s i a o,0,7,4,0
admiringly, 10, 9, 7, 1, e i l y g n r,0,5,3,0
adornments, 10, 9, 4, 0, e s o d,0,4,0,0
adventures, 10, 9, 7, 0, e r u t n v d,0,7,2,0
aerate, 6, 4, 3, 0, e r a,0,3,0,0
affected, 8, 6, 7, 3, e d t n s c j,0,12,7,0
affray, 6, 4, 5, 3, e a r t o,0,7,6,0
age, 3, 3, 11, 8, a e y x w v t r p l g,0,17,14,8
agitatedly, 10, 8, 7, 1, e s i l y d t,0,2,0,0
aground, 7, 7, 6, 3, e i a o r y,0,6,3,0
airframe, 8, 6, 5, 2, e a t p m,0,7,4,0
akimbo, 6, 6, 6, 4, e a i s l t,0,5,2,0
alehouse, 8, 7, 4, 1, e r a o,0,4,1,0
aligns, 6, 6, 5, 1, e a i s n,0,6,3,0
alleviate, 9, 6, 2, 0, e i,0,5,1,0
alloys, 6, 5, 8, 3, e a i o s r l y,0,18,14,2
alphas, 6, 5, 4, 2, e a r l,0,7,5,0
alumnus, 7, 6, 5, 3, e i a o u,0,6,4,0
ambitiously, 11, 10, 7, 1, e i l y s u o,0,5,1,0
amiableness, 11, 8, 6, 0, e n s i l b,0,3,1,0
amours, 6, 6, 7, 4, e a i o n s t,0,6,4,0
an, 2, 2, 7, 5, o e i a t s n,0,6,4,0
analytically, 12, 7, 3, 0, i a y,0,3,1,0
anemia, 6, 5, 7, 2, e s r n i m a,0,5,2,0
animals, 7, 6, 5, 3, e i r l y,0,5,3,0
anniversary, 11, 8, 4, 0, e n y r,0,3,1,0
anomaly, 7, 6, 7, 4, e i a s d y l,0,7,4,0
anthem, 6, 6, 6, 3, e r d s t m,0,8,4,0
antigenic, 9, 7, 4, 2, e s r i,0,3,0,0
anxious, 7, 7, 4, 1, e i s n,0,5,2,0
apiaries, 8, 6, 6, 1, e s i r a v,0,16,10,2
apparatus, 9, 6, 4, 2, e i a s,0,5,3,0
applauds, 8, 6, 5, 3, e i a r l,0,7,5,0
appreciably, 11, 9, 4, 1, e n r i,0,3,1,0
approximately, 13, 11, 3, 1, i n e,0,5,0,0
araks, 5, 4, 5, 1, e s a r k,0,20,17,2
archdiocese, 11, 9, 2, 0, e s,0,3,1,0
arent, 5, 5, 5, 1, e s a t r,0,8,3,0
armchair, 8, 6, 3, 1, e i a,0,5,3,0
arrases, 7, 4, 4, 1, e r a d,0,7,4,0
arthropods, 10, 8, 5, 3, e i o g r,0,5,2,0
ascends, 7, 6, 6, 1, e a s c n t,0,7,3,0
aslant, 6, 5, 3, 1, e a s,0,7,3,0
assaulted, 9, 7, 2, 0, e s,0,3,0,0
assignations, 12, 7, 2, 0, i s,0,6,1,0
assure, 6, 5, 7, 2, e l i a u s r,0,8,4,0
astronomic, 10, 9, 3, 1, e i o,0,4,1,0
atlases, 7, 5, 7, 4, e r d s u o l,0,3,0,0
attacks, 7, 5, 4, 3, e i a l,0,5,3,0
attorney, 8, 7, 5, 2, e s d r a,0,3,0,0
auditioned, 10, 8, 3, 1, e s d,0,3,0,0
austerely, 9, 8, 5, 1, e s y l n,0,6,3,0
autocratically, 14, 9, 2, 0, i a,0,3,1,0
avaricious, 10, 8, 7, 1, e i s o r u c,0,4,2,0
avowals, 7, 6, 5, 3, e i a s n,0,6,4,0
axed, 4, 4, 6, 2, e s d i a x,0,18,15,4
babyish, 7, 6, 11, 7, e i n s h o a w l d f,0,17,13,3
backpedalling, 13, 11, 5, 1, i n g r l,0,3,1,0
badgered, 8, 6, 4, 1, e d g t,0,11,7,0
bait, 4, 4, 11, 8, e a s l r n t f i w g,0,18,15,3
ballbearing, 11, 8, 5, 0, e n i g r,0,8,3,0
banality, 8, 7, 5, 1, e i n a t,0,6,2,0
bankrupt, 8, 8, 8, 4, e i a o u n f t,0,5,3,0
barbecued, 9, 7, 7, 3, e s d n r a l,0,10,7,0
barmaids, 8, 7, 6, 3, e i n s a t,0,6,4,0
bartered, 8, 6, 4, 1, e d r n,0,8,4,0
basks, 5, 4, 8, 5, e s t a p k m c,0,16,14,5
batmen, 6, 6, 7, 3, e r d s t m n,0,6,2,0
bawdier, 7, 7, 8, 2, e r i s a n b d,0,11,6,0
beaming, 7, 7, 11, 4, e i n g a l r t h b m,0,14,9,3
beau, 4, 4, 9, 5, e s a l r t d b u,0,13,10,5
bedfellow, 9, 7, 4, 2, e r n o,0,5,3,0
beep, 4, 3, 9, 7, e s d k r t p w j,0,20,17,15
begin, 5, 5, 10, 6, e s a r t n o g b u,0,7,4,0
being, 5, 5, 6, 4, e s a r t n,0,7,4,0
bellicose, 9, 7, 5, 2, e r a i s,0,7,3,0
benediction, 11, 8, 3, 0, e i d,0,6,1,0
berlin, 6, 6, 7, 3, e r i m n k o,0,10,5,0
bests, 5, 4, 8, 5, e s t v r p n j,0,20,16,4
bewildering, 11, 9, 5, 0, e r g n d,0,9,5,0
bidet, 5, 5, 8, 5, e s d r o n t a,0,10,7,0
billable, 8, 5, 4, 0, e a l b,0,10,6,0
biochemically, 13, 10, 2, 1, i t,0,3,1,0
biplanes, 8, 8, 6, 1, e s i a t l,0,6,2,0
bistro, 6, 6, 5, 2, e a i s o,0,4,2,0
blackbirds, 10, 9, 5, 3, e i s o n,0,5,3,0
blameless, 9, 6, 4, 1, e s n l,0,8,5,0
blaze, 5, 5, 9, 4, e a s r l p g b z,0,17,14,5
blesses, 7, 4, 5, 3, e r d s u,0,10,7,0
blob, 4, 3, 6, 3, e a o l p b,0,18,16,11
bloodshot, 9, 7, 4, 3, e i a o,0,4,2,0
blows, 5, 5, 10, 6, e s a o l p c w g f,0,18,14,8
bluntly, 7, 6, 7, 4, e i a o u y l,0,6,4,0
boat, 4, 4, 11, 8, e a r l s h o t m g c,0,17,14,3
bogeymen, 8, 7, 5, 3, e d s r n,0,6,3,0
bombardier, 10, 8, 3, 1, e s d,0,5,1,0
bony, 4, 4, 12, 9, e a o s l r n d y t p c,1,17,15,7
boomerang, 9, 8, 5, 2, e i r u a,0,4,1,0
borderline, 10, 8, 2, 0, e r,0,6,2,0
botany, 6, 6, 8, 4, e a s i t o y r,0,6,2,0
bounded, 7, 6, 12, 7, e r d o u n w s p m h f,0,18,13,4
boxers, 6, 6, 12, 8, e s r a i o w v n k c y,0,20,15,8
braided, 7, 6, 6, 1, e r d b a n,0,8,4,0
brands, 6, 6, 9, 5, e a s r n g k u c,0,17,12,2
brazil, 6, 6, 7, 4, e a s r y i c,0,8,5,0
breasted, 8, 7, 3, 0, e r s,0,3,0,0
brewed, 6, 5, 6, 3, e d w s c i,0,17,14,3
briefed, 7, 6, 5, 1, e r i v f,0,15,10,2
brisbane, 8, 7, 6, 3, e a t c g i,0,6,2,0
brochure, 8, 7, 6, 2, e a i o u r,0,5,3,0
brotherinlaw, 12, 11, 3, 0, i e a,0,3,0,0
brushwork, 9, 8, 6, 3, e i a o u s,0,6,5,0
buckshot, 8, 8, 6, 4, e i a o u f,0,4,2,0
buggies, 7, 6, 10, 5, e r d s i o u b n l,0,16,12,6
bullfight, 9, 8, 8, 4, e i s a h t g o,0,5,3,0
bungled, 7, 7, 8, 2, e r d l b u t g,0,11,7,0
burgeoning, 10, 8, 4, 0, e i n g,0,4,2,0
bursted, 7, 7, 7, 2, e r s a d t o,0,8,4,0
bustling, 8, 8, 13, 6, e i n g a o u l m t s r h,0,9,5,0
buying, 6, 6, 10, 5, e a i n g o u r m b,0,16,13,4
cabinetmaker, 12, 10, 2, 0, i e,0,3,0,0
cads, 4, 4, 10, 7, e a s p t g d w l f,0,12,8,0
calculator, 10, 7, 4, 2, e i o a,0,5,2,0
calmed, 6, 6, 9, 4, e r d a l t v m p,0,12,7,0
campaigners, 11, 10, 4, 0, e s r a,0,5,2,0
candidature, 11, 9, 3, 0, e a i,0,5,1,0
canoes, 6, 6, 10, 5, e r d s l i a g c n,0,7,2,0
capacious, 9, 7, 9, 2, e i s n a p u o c,0,8,4,0
caps, 4, 4, 12, 9, e a s p z y t r n m l g,1,16,12,24
carbines, 8, 8, 8, 2, e s i r o n b u,0,8,2,0
career, 6, 4, 4, 2, e s n r,0,7,5,0
carotene, 8, 7, 5, 1, e r o n x,0,2,0,0
cartography, 11, 9, 6, 2, e i o a h p,0,6,3,0
cask, 4, 4, 9, 5, e a s h t p k m c,0,12,9,5
cat, 3, 3, 13, 10, a p g m t v s r o h f e c,3,12,9,6
catechism, 9, 8, 6, 2, e i n s m r,0,7,2,0
caucuses, 8, 5, 3, 0, e s u,0,12,8,0
cavers, 6, 6, 10, 5, e s r a t p w k l c,0,16,11,2
celery, 6, 5, 4, 2, e r s a,0,8,6,0
centimetre, 10, 7, 2, 0, e n,0,2,0,0
cerebral, 8, 6, 5, 1, e r b c m,0,8,5,0
chagrined, 9, 9, 6, 1, e s d n i r,0,6,2,0
chameleons, 10, 9, 2, 0, e n,0,3,1,0
chanted, 7, 7, 8, 3, e r d l s t n a,0,9,4,0
charger, 7, 6, 8, 3, e r a s h c t m,0,14,9,1
chasing, 7, 7, 8, 2, e i n g a s h p,0,12,6,0
cheaters, 8, 7, 7, 2, e r s l h c u,0,7,3,0
cheese, 6, 4, 3, 1, e z c,0,7,5,0
chessboard, 10, 9, 3, 1, e i s,0,3,1,0
childhood, 9, 6, 4, 1, e i o d,0,8,6,0
chinoiserie, 11, 8, 3, 0, e c s,0,4,2,0
chloroquine, 11, 10, 4, 1, e a i n,0,4,2,0
chord, 5, 5, 7, 4, e s a o r d f,0,9,6,0
chronicles, 10, 9, 4, 1, e s a i,0,7,2,0
churn, 5, 5, 8, 6, e s a o i u r l,0,7,6,0
circularly, 10, 7, 4, 2, e i s a,0,7,5,0
citadel, 7, 7, 6, 2, e r d s l i,0,5,1,0
clairvoyants, 12, 11, 3, 1, i e a,0,3,1,0
clarinets, 9, 9, 3, 0, e s r,0,3,0,0
claustrophobia, 14, 12, 10, 0, i o b h p r t s u a,0,3,1,0
cleavage, 8, 6, 3, 1, e r a,0,8,6,0
climatically, 12, 7, 2, 0, i l,0,4,2,0
cloak, 5, 5, 7, 4, e s a o r l t,0,8,6,0
cloth, 5, 5, 9, 6, e s a o r l c u n,0,8,6,0
clucking, 8, 7, 12, 7, e i n g a o u s l b p f,0,12,8,0
coalescence, 11, 7, 3, 0, e n c,0,3,1,0
cobblers, 8, 7, 6, 1, e s r l b i,0,13,7,0
cocoons, 7, 4, 4, 3, e i a o,0,4,3,0
coexists, 8, 7, 6, 0, e i c t s x,0,4,1,0
coiffure, 8, 7, 7, 2, e a i r u o t,0,5,2,0
collaborative, 13, 10, 4, 1, i n o e,0,4,0,0
collided, 8, 6, 7, 2, e s d o c i f,0,10,6,0
colonising, 10, 7, 6, 2, e i n g s a,0,6,3,0
combativeness, 13, 11, 6, 0, i n e s v t,0,3,0,0
comings, 7, 7, 8, 4, e i s n g a r t,0,8,4,0
comments, 8, 7, 5, 0, e s n t m,0,7,2,0
commonplaces, 12, 9, 4, 2, i e r o,0,4,1,0
compaction, 10, 8, 7, 1, e i n o p m c,0,4,1,0
compendium, 10, 9, 4, 1, e i n t,0,6,2,0
complaisant, 11, 10, 4, 1, e i n s,0,6,1,0
composer, 8, 7, 5, 1, e s d r o,0,8,4,0
comptroller, 11, 8, 5, 2, e i a o r,0,6,3,0
conceit, 7, 6, 8, 3, e s r n o c t p,0,6,1,0
conciliation, 12, 7, 2, 0, i n,0,5,1,0
concussed, 9, 7, 5, 0, e s d n c,0,7,3,0
conduct, 7, 6, 8, 4, e i a o u s t n,0,7,4,0
confidantes, 11, 10, 3, 0, e i a,0,4,0,0
conflictingly, 13, 9, 2, 0, i l,0,3,2,0
conger, 6, 6, 12, 6, e r a i o l t d c n k g,0,17,11,3
conjugacy, 9, 8, 6, 3, e i a o u l,0,6,3,0
connoisseurship, 15, 10, 1, 0, i,0,2,1,0
consequence, 11, 7, 5, 1, e n o c g,0,7,3,0
consolations, 12, 8, 4, 1, i t s p,0,7,1,0
constituencies, 14, 8, 2, 0, i t,0,2,0,0
consul, 6, 6, 8, 5, e a i o u p l f,0,9,6,0
contaminate, 11, 8, 3, 0, e a t,0,3,0,0
contiguity, 10, 8, 3, 1, e i n,0,6,2,0
contraction, 11, 7, 8, 1, e i n t a r o c,0,12,5,0
contributors, 12, 9, 10, 2, i e o t u b r n c y,0,7,2,0
convenient, 10, 7, 5, 2, e s t r o,0,5,1,0
convey, 6, 6, 9, 5, e r d s t n o y k,0,19,14,2
cooking, 7, 6, 12, 6, e i n g a o l t m k h c,0,12,8,0
copouts, 7, 6, 6, 4, e i a o u r,0,8,5,0
cordiality, 10, 9, 4, 2, e i n t,0,5,1,0
cornices, 8, 7, 6, 0, e s i r o c,0,6,2,0
correctly, 9, 7, 7, 1, e i r y l t c,0,4,1,0
corsets, 7, 6, 6, 2, e s r o n l,0,7,3,0
costing, 7, 7, 12, 6, e i n g a o r l t s p h,0,12,6,0
countdown, 9, 7, 6, 4, e i a o s n,0,6,3,0
countless, 9, 8, 7, 1, e s n l t u a,0,6,2,0
courtmartial, 12, 9, 3, 1, i n r,0,3,1,0
cow, 3, 3, 13, 11, a o t d b w v s r n m l h,3,18,15,35
cracker, 7, 5, 6, 2, e r i o a c,0,12,8,0
cranium, 7, 7, 7, 2, e i n s a m u,0,12,7,0
craze, 5, 5, 6, 1, e a s r c z,0,21,17,2
credibility, 11, 9, 5, 1, e i t y f,0,8,4,0
crested, 7, 6, 7, 2, e r d a t s w,0,12,6,0
criminology, 11, 9, 3, 1, e i r,0,5,3,0
croakiest, 9, 9, 7, 0, e s t i o c k,0,3,0,0
crosiers, 8, 6, 5, 1, e s r c h,0,7,3,0
crouched, 8, 7, 8, 4, e s d a o r t l,0,9,5,0
cruelties, 9, 8, 6, 1, e s i l t v,0,5,2,0
crustacean, 10, 8, 2, 0, e s,0,3,0,0
cubed, 5, 5, 10, 7, e s d a o i u t r m,0,12,9,4
culls, 5, 4, 13, 9, e s a o i u l p n h g d c,2,12,9,4
cupolas, 7, 7, 5, 2, e i a o s,0,7,4,0
curliness, 9, 8, 9, 3, e s n i d u p r k,0,10,4,0
curtsy, 6, 6, 8, 6, e a i o u y l n,0,7,5,0
cutlery, 7, 7, 8, 4, e s r y o n g t,0,8,5,0
cymbals, 7, 7, 7, 4, e i a s o u l,0,10,7,0
daddies, 7, 5, 3, 1, e r d,0,11,6,0
damaging, 8, 6, 6, 2, e i n g a v,0,8,5,0
danes, 5, 5, 11, 7, e s a r t c l m w p d,0,11,6,0
darters, 7, 6, 8, 3, e s r a w m t g,0,11,5,0
daycare, 7, 6, 5, 1, e a g r c,0,8,5,0
deadsea, 7, 4, 2, 0, e d,0,3,1,0
debatable, 9, 6, 3, 1, e r a,0,3,0,0
decaf, 5, 5, 9, 5, e s a l n r d c y,0,15,10,2
decentralising, 14, 11, 2, 0, i t,0,2,0,0
declamation, 11, 10, 7, 1, e i n o t a r,0,8,2,0
deconstruction, 14, 10, 6, 0, i r u t s n,0,8,1,0
decriminalised, 14, 10, 2, 0, i s,0,3,1,0
deeply, 6, 5, 6, 3, e y l k m b,0,11,8,0
defencelessness, 15, 7, 2, 1, i e,0,1,0,0
definer, 7, 6, 6, 2, e d s i r v,0,8,4,0
defrosted, 9, 7, 4, 0, e d t o,0,4,1,0
deism, 5, 5, 5, 3, e s t w h,0,7,4,0
delicious, 9, 8, 6, 1, e i s o l r,0,8,4,0
deludes, 7, 5, 6, 2, e d s c u n,0,11,7,0
demilitarisation, 16, 11, 1, 0, i,0,3,0,0
demonstrators, 13, 9, 3, 1, i e r,0,4,0,0
denomination, 12, 8, 3, 0, i t n,0,6,0,0
deodorants, 10, 8, 5, 2, e i a r y,0,4,0,0
depolarisations, 15, 11, 5, 0, i s n r o,0,4,0,0
depressant, 10, 8, 3, 1, e n i,0,6,2,0
derided, 7, 4, 5, 1, e d u i r,0,11,7,0
describer, 9, 7, 5, 1, e d s r y,0,8,4,0
designed, 8, 6, 6, 3, e r d i t l,0,8,4,0
despoil, 7, 7, 6, 2, e i a t o d,0,6,3,0
detail, 6, 6, 6, 1, e r a l i t,0,8,4,0
determining, 11, 8, 4, 0, e i t n,0,6,2,0
deuced, 6, 4, 4, 1, e d n c,0,12,9,11
deviser, 7, 6, 5, 0, e d s r i,0,8,4,0
diachronic, 10, 8, 4, 1, e i a n,0,5,2,0
diamond, 7, 6, 6, 3, e i s l a d,0,5,2,0
dictions, 8, 7, 9, 3, e i n s o l t c f,0,11,5,0
diffidence, 10, 6, 6, 1, e n c i d s,0,7,4,0
dignity, 7, 6, 8, 2, e i n s y g d t,0,6,3,0
dimer, 5, 5, 7, 3, e s d r i v n,0,14,9,2
dinosaurs, 9, 8, 5, 2, e i t s r,0,5,2,0
directly, 8, 8, 5, 2, e r f s l,0,6,3,0
disaggregated, 13, 8, 2, 0, i e,0,3,0,0
disassembler, 12, 9, 8, 0, i e l b m a s d,0,8,3,0
disciple, 8, 7, 7, 2, e a i l c s b,0,11,6,0
discontents, 11, 8, 3, 0, e s t,0,3,1,0
discredits, 10, 7, 3, 0, e i t,0,5,2,0
disembowels, 11, 9, 2, 0, e s,0,5,2,0
dish, 4, 4, 9, 6, e a o i s t h w f,0,11,7,0
disinterestedly, 15, 9, 1, 0, i,0,1,0,0
dismissed, 9, 5, 3, 0, e s i,0,7,4,0
dispelled, 9, 6, 5, 0, e s i d l,0,8,5,0
dispose, 7, 6, 6, 2, e a i s o c,0,11,6,0
disrespectful, 13, 11, 2, 0, i e,0,3,1,0
dissimulation, 13, 10, 1, 0, i,0,5,1,0
distillers, 10, 7, 5, 1, e s r t n,0,7,3,0
distributor, 11, 8, 3, 2, e i y,0,4,2,0
divergence, 10, 8, 3, 1, e n s,0,5,3,0
divisions, 9, 6, 3, 1, e i s,0,5,3,0
doctoring, 9, 8, 6, 1, e i n g r o,0,4,2,0
dogma, 5, 5, 5, 2, e s a o g,0,11,8,0
domestically, 12, 11, 7, 0, i a e y l c s,0,3,0,0
doomsday, 8, 6, 6, 2, e i a o s m,0,10,7,0
dot, 3, 3, 12, 9, a o t s r p n l j h g d,2,11,8,0
dovecot, 7, 6, 5, 3, e a i o m,0,4,1,0
downturn, 8, 7, 6, 4, e i a o u s,0,6,3,0
dragonfly, 9, 9, 4, 2, e i a o,0,5,3,0
draw, 4, 4, 10, 7, e a r b t y m c i w,0,18,14,5
dredged, 7, 4, 3, 0, e r d,0,11,8,0
drinks, 6, 6, 11, 5, e a i s l n g t k r d,0,11,6,0
drop, 4, 4, 7, 3, e a o l r p d,0,11,8,0
drummers, 8, 6, 7, 4, e s r t o a i,0,8,5,0
ducking, 7, 7, 14, 7, e i n g a o u s p c k t m d,0,12,8,0
duly, 4, 4, 11, 8, e a o i u s r l p y j,0,11,9,43
duplex, 6, 6, 4, 1, e r d l,0,11,8,0
duvets, 6, 6, 8, 6, e s r l o i a n,0,7,4,0
dysfunctional, 13, 12, 6, 0, i t l a o c,0,5,1,0
earphones, 9, 8, 2, 0, e a,0,3,1,0
eastern, 7, 6, 2, 0, e s,0,2,0,0
echoing, 7, 7, 6, 1, e i n g d o,0,6,2,0
edged, 5, 3, 2, 0, e d,0,11,9,4
educations, 10, 10, 9, 1, e i n s o t a u l,0,10,3,0
efforts, 7, 6, 8, 3, e i a o s t r x,0,15,9,2
eigenvalues, 11, 9, 3, 0, e n a,0,3,1,0
elate, 5, 4, 5, 2, e l d t i,0,3,0,0
electrocutes, 12, 8, 9, 1, i e o r t c u l s,0,10,4,0
elephants, 9, 8, 2, 0, e t,0,2,0,0
ellipsoid, 9, 7, 2, 0, e i,0,5,2,0
emaciated, 9, 7, 4, 1, e a t u,0,5,1,0
embeddable, 10, 6, 2, 1, e n,0,6,4,0
embroidering, 12, 9, 8, 1, i t r d o b m e,0,2,1,0
emits, 5, 5, 6, 1, e t s i x m,0,14,9,2
employer, 8, 7, 6, 2, e d s r m y,0,11,7,0
enamoured, 9, 8, 2, 0, e a,0,3,1,0
encoders, 8, 7, 3, 0, e n r,0,6,3,0
end, 3, 3, 8, 6, a o e l t r m d,0,6,4,0
endowing, 8, 7, 6, 1, e i n g d r,0,11,6,0
enfranchised, 12, 10, 8, 1, i t e s h c a r,0,8,2,0
enhances, 8, 6, 6, 2, e d s n c u,0,7,3,0
ennobles, 8, 6, 4, 1, e d s n,0,7,3,0
enshrouded, 10, 8, 3, 1, e a s,0,4,2,0
entertains, 10, 7, 4, 1, e n i g,0,2,0,0
entrance, 8, 6, 3, 0, e a n,0,3,0,0
enunciation, 11, 8, 5, 0, e i t a n,0,5,0,0
epics, 5, 5, 6, 2, e t i s l c,0,10,7,0
epithelial, 10, 7, 3, 0, e i l,0,3,0,0
equinoctial, 11, 10, 3, 0, e i a,0,3,0,0
erg, 3, 3, 6, 4, a o e l t r,0,8,6,0
erupting, 8, 8, 7, 2, e i n g a x t,0,8,3,0
espionage, 9, 8, 5, 1, e a t g o,0,4,1,0
estimators, 10, 8, 3, 0, e i r,0,4,0,0
ethylene, 8, 6, 2, 0, e n,0,2,0,0
evacuee, 7, 5, 2, 0, e a,0,3,1,0
evenness, 8, 4, 2, 0, e n,0,2,1,0
evinced, 7, 6, 5, 2, e d a i t,0,7,4,0
exalts, 6, 6, 8, 2, e i o a s t x l,0,10,5,0
excepts, 7, 6, 5, 0, e s x t p,0,12,8,0
exclusivist, 11, 9, 3, 0, e i t,0,2,0,0
exercised, 9, 7, 6, 0, e s i r d c,0,8,4,0
exhumation, 10, 10, 6, 0, e i n o t a,0,5,0,0
exoskeleton, 11, 8, 2, 0, e s,0,2,0,0
expedition, 10, 8, 3, 0, e n i,0,4,1,0
expiry, 6, 6, 7, 3, e i n s y g r,0,8,5,0
explosives, 10, 8, 6, 1, e a s o l v,0,5,2,0
expropriate, 11, 8, 3, 0, e a t,0,3,0,0
exterminator, 12, 9, 3, 0, i a e,0,2,0,0
extralinguistic, 15, 12, 1, 0, i,0,2,0,0
exude, 5, 4, 4, 1, e l d u,0,10,9,1
